CODEBUCH,
"Im Codebuch definieren Sie, wie und nach welchen Kriterien erfasst werden.",
Achtung: das Codebuch wird immer als eigene Datei in Github gesetzt. Beispiel siehe hier.,
Wert,Kommentar
edgelist,
from,"definiert den Sender in gerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen, nur ein Wort"
to ,"definiert den Empfänger in ungerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen, etc. "
time,"definiert einen Zeitpunkt, ab dem die Beziehung zwischen zwei Knoten stattgfindet oder beobachtet wird (bis Juli 2021)"
,
nodelist,
id,"eindeutige Identifikation jedes einzelnen Knotens (vertex), der erfasst wird, nach Initalien, IOC-Ländercodes, Vereinskürzeln"
name,vollständiger Name 
type,"1=Person, 2= Organisation wie Verein oder Land"
birth,Geburtsjahr
age,"Alter in passenden Abschnitten, skaliert: 1=unter 18, 2=19-20, 3=21-25, 4=25-30, 5= über 30"
position,"Spielposition auf dem Feld, skaliert: 1=Mittelblock, 2=Zuspiel, 3=Außenangriff, 4=Diagonal, 5=Libera"
countrytype,"Heimatland, skaliert: 1=BEL, 2=BUL, 3=GER, 4=FIN, 5=FRA, 6=ITA, 7=JPN, 8=MNE, 9=NLD, 10=POL, 11=ROU, 12=SUI, 13=SLO, 14=ESP, 15=TUR, 16=USA"
,
,
Fehlende Werte z.B. bei Alter des Vereins bleiben leer,
